Date,Currency,Maturity,SwapRate
2010-01-29,AD,1,4.7015
2010-02-26,AD,1,4.622
2010-03-31,AD,1,4.95
2010-04-30,AD,1,5.069
2010-05-31,AD,1,4.8505
2010-06-30,AD,1,4.8575
2010-07-30,AD,1,4.8645
2010-08-31,AD,1,4.66
2010-09-30,AD,1,5.1185
2010-10-29,AD,1,5.03
2010-11-30,AD,1,5.2
2010-12-31,AD,1,5.173
2011-01-31,AD,1,5.1805
2011-02-28,AD,1,5.2095
2011-03-31,AD,1,5.0765
2011-04-29,AD,1,5.1645
2011-05-31,AD,1,5.154
2011-06-30,AD,1,5.06877
2011-07-29,AD,1,4.99994
2011-08-31,AD,1,4.41423
2011-09-30,AD,1,4.30029
2011-10-31,AD,1,4.4639
2011-11-30,AD,1,3.97485
2011-12-30,AD,1,4.0681
2012-01-31,AD,1,4.08669
2012-02-29,AD,1,4.3658
2012-03-30,AD,1,4.128
2012-04-30,AD,1,3.8134
2012-05-31,AD,1,3.02435
2012-06-29,AD,1,3.3637
2012-07-31,AD,1,3.3712
2012-08-31,AD,1,3.3067
2012-09-28,AD,1,3.0751
2012-10-31,AD,1,2.987
2012-11-30,AD,1,3.06866
2012-12-31,AD,1,2.7765
2013-01-31,AD,1,2.8543
2013-02-28,AD,1,2.8425
2013-03-29,AD,1,3.0693
2013-04-30,AD,1,2.797
2013-05-31,AD,1,2.6975
2013-06-28,AD,1,2.7125
2013-07-31,AD,1,2.527
2013-08-30,AD,1,2.565
2013-09-30,AD,1,2.555
2013-10-31,AD,1,2.665
2013-11-29,AD,1,2.64
2013-12-31,AD,1,2.6619
2014-01-31,AD,1,2.675
2014-02-28,AD,1,2.7079
2014-03-31,AD,1,2.7498
2014-04-30,AD,1,2.7566
2014-05-30,AD,1,2.72055
2014-06-30,AD,1,2.697
2014-07-31,AD,1,2.669
2014-08-29,AD,1,2.645
2014-09-30,AD,1,2.784
2014-10-31,AD,1,2.759
2014-11-28,AD,1,2.742
2014-12-31,AD,1,2.662
2015-01-30,AD,1,2.432
2015-02-27,AD,1,2.184
2015-03-31,AD,1,2.064
2015-04-30,AD,1,2.23
2015-05-29,AD,1,2.155
2015-06-30,AD,1,2.238
2015-07-31,AD,1,2.192
2015-08-31,AD,1,2.085
2015-09-30,AD,1,2.121
2015-10-30,AD,1,2.071
2015-11-30,AD,1,2.32
2015-12-31,AD,1,2.373
2016-01-29,AD,1,2.289
2016-02-29,AD,1,2.261
2016-03-31,AD,1,2.338
2016-04-29,AD,1,2.225
2016-05-31,AD,1,2.071
2016-06-30,AD,1,2.037
2016-07-29,AD,1,1.972
2016-08-31,AD,1,1.854
2016-09-30,AD,1,1.899
2016-10-31,AD,1,1.962
2016-11-30,AD,1,2.024
2016-12-30,AD,1,2.098
2017-01-31,AD,1,2.033
2017-02-28,AD,1,2.021
2017-03-31,AD,1,2.018
2017-04-28,AD,1,1.958
2017-05-31,AD,1,1.826
2017-06-30,AD,1,1.906
2017-07-31,AD,1,1.868
2017-08-31,AD,1,1.972
2017-09-29,AD,1,2.017
2017-10-31,AD,1,1.93
2017-11-30,AD,1,1.95
2017-12-29,AD,1,2.029
2018-01-31,AD,1,1.993
2018-02-28,AD,1,2.024
2018-03-30,AD,1,2.125
2018-04-30,AD,1,2.163
2018-05-31,AD,1,2.12
2018-06-29,AD,1,2.1825
2018-07-31,AD,1,2.173
2018-08-31,AD,1,2.1425
2018-09-28,AD,1,2.12
2018-10-31,AD,1,2.088
2018-11-30,AD,1,2.128
2018-12-31,AD,1,2.122
2019-01-31,AD,1,2.095
2019-02-28,AD,1,1.953
2019-03-29,AD,1,1.726
2019-04-30,AD,1,1.548
2019-05-31,AD,1,1.351
2019-06-28,AD,1,1.119
2019-07-31,AD,1,0.96789
2019-08-30,AD,1,0.868
2019-09-30,AD,1,0.93
2019-10-31,AD,1,0.982
2019-11-29,AD,1,0.843
2019-12-31,AD,1,0.976
2020-01-31,AD,1,0.809
2020-02-28,AD,1,0.697
2020-03-31,AD,1,0.456
2020-04-30,AD,1,0.212
2020-05-29,AD,1,0.221
2020-06-30,AD,1,0.194
2020-07-31,AD,1,0.187
2020-08-31,AD,1,0.155
2020-09-30,AD,1,0.123
2020-10-30,AD,1,0.061
2020-11-30,AD,1,0.051
2020-12-31,AD,1,0.033
2021-01-29,AD,1,0.038
2021-02-26,AD,1,0.115
2021-03-31,AD,1,0.11925
2021-04-30,AD,1,0.11792
2021-05-31,AD,1,0.107
2021-06-30,AD,1,0.111
2021-07-30,AD,1,0.07826
2021-08-31,AD,1,0.064
2021-09-30,AD,1,0.09872
2021-10-29,AD,1,0.5025
2021-11-30,AD,1,0.354
2021-12-31,AD,1,0.45859
2022-01-31,AD,1,0.64048
2022-02-28,AD,1,0.64491
2022-03-31,AD,1,1.353
2022-04-29,AD,1,2.246
2022-05-31,AD,1,2.677
2022-06-30,AD,1,3.298
2022-07-29,AD,1,3.142
2022-08-31,AD,1,3.527
2022-09-30,AD,1,4.019
2022-10-31,AD,1,4.08431
2022-11-30,AD,1,3.7165
2022-12-30,AD,1,4.07975
2010-01-29,CD,1,0.7
2010-02-26,CD,1,0.712
2010-03-31,CD,1,1.126
2010-04-30,CD,1,1.4088
2010-05-31,CD,1,1.357
2010-06-30,CD,1,1.1742
2010-07-30,CD,1,1.27
2010-08-31,CD,1,1.1488
2010-09-30,CD,1,1.377
2010-10-29,CD,1,1.3499
2010-11-30,CD,1,1.5402
2010-12-31,CD,1,1.5493
2011-01-31,CD,1,1.4644
2011-02-28,CD,1,1.615
2011-03-31,CD,1,1.5795
2011-04-29,CD,1,1.575
2011-05-31,CD,1,1.455
2011-06-30,CD,1,1.472
2011-07-29,CD,1,1.425
2011-08-31,CD,1,1.1488
2011-09-30,CD,1,1.017
2011-10-31,CD,1,1.162
2011-11-30,CD,1,1.155
2011-12-30,CD,1,1.176
2012-01-31,CD,1,1.225
2012-02-29,CD,1,1.274
2012-03-30,CD,1,1.314
2012-04-30,CD,1,1.474
2012-05-31,CD,1,1.256
2012-06-29,CD,1,1.2325
2012-07-31,CD,1,1.302
2012-08-31,CD,1,1.36
2012-09-28,CD,1,1.2789
2012-10-31,CD,1,1.265
2012-11-30,CD,1,1.2736
2012-12-31,CD,1,1.329
2013-01-31,CD,1,1.31
2013-02-28,CD,1,1.24
2013-03-29,CD,1,1.2719
2013-04-30,CD,1,1.255
2013-05-31,CD,1,1.3223
2013-06-28,CD,1,1.342
2013-07-31,CD,1,1.351
2013-08-30,CD,1,1.319
2013-09-30,CD,1,1.299
2013-10-31,CD,1,1.286
2013-11-29,CD,1,1.276
2013-12-31,CD,1,1.265
2014-01-31,CD,1,1.2119
2014-02-28,CD,1,1.2465
2014-03-31,CD,1,1.275
2014-04-30,CD,1,1.285
2014-05-30,CD,1,1.2715
2014-06-30,CD,1,1.292
2014-07-31,CD,1,1.292
2014-08-29,CD,1,1.3051
2014-09-30,CD,1,1.2935
2014-10-31,CD,1,1.2892
2014-11-28,CD,1,1.31
2014-12-31,CD,1,1.337
2015-01-30,CD,1,0.8235
2015-02-27,CD,1,0.865
2015-03-31,CD,1,0.8815
2015-04-30,CD,1,0.998
2015-05-29,CD,1,0.9385
2015-06-30,CD,1,0.862
2015-07-31,CD,1,0.665
2015-08-31,CD,1,0.651
2015-09-30,CD,1,0.7465
2015-10-30,CD,1,0.811
2015-11-30,CD,1,0.825
2015-12-31,CD,1,0.7945
2016-01-29,CD,1,0.705
2016-02-29,CD,1,0.806
2016-03-31,CD,1,0.8806
2016-04-29,CD,1,1.0088
2016-05-31,CD,1,0.955
2016-06-30,CD,1,0.873
2016-07-29,CD,1,0.9173
2016-08-31,CD,1,0.9096
2016-09-30,CD,1,0.878
2016-10-31,CD,1,0.884
2016-11-30,CD,1,0.925
2016-12-30,CD,1,0.975
2017-01-31,CD,1,0.992
2017-02-28,CD,1,0.988
2017-03-31,CD,1,0.9878
2017-04-28,CD,1,0.975
2017-05-31,CD,1,0.945
2017-06-30,CD,1,1.2678
2017-07-31,CD,1,1.485
2017-08-31,CD,1,1.505
2017-09-29,CD,1,1.7104
2017-10-31,CD,1,1.608
2017-11-30,CD,1,1.611
2017-12-29,CD,1,1.666
2018-01-31,CD,1,
2018-02-28,CD,1,
2018-03-30,CD,1,
2018-04-30,CD,1,
2018-05-31,CD,1,
2018-06-29,CD,1,
2018-07-31,CD,1,2.202
2018-08-31,CD,1,2.253
2018-09-28,CD,1,2.363
2018-10-31,CD,1,2.51
2018-11-30,CD,1,2.418
2018-12-31,CD,1,2.2623
2019-01-31,CD,1,2.1793
2019-02-28,CD,1,2.132
2019-03-29,CD,1,1.9885
2019-04-30,CD,1,1.9735
2019-05-31,CD,1,1.905
2019-06-28,CD,1,1.903
2019-07-31,CD,1,1.936
2019-08-30,CD,1,1.786
2019-09-30,CD,1,1.954
2019-10-31,CD,1,1.88
2019-11-29,CD,1,1.918
2019-12-31,CD,1,2.011
2020-01-31,CD,1,1.817
2020-02-28,CD,1,1.542
2020-03-31,CD,1,0.755
2020-04-30,CD,1,0.591
2020-05-29,CD,1,0.5347
2020-06-30,CD,1,0.545
2020-07-31,CD,1,0.526
2020-08-31,CD,1,0.513
2020-09-30,CD,1,0.508
2020-10-30,CD,1,0.478
2020-11-30,CD,1,0.5
2020-12-31,CD,1,0.457
2021-01-29,CD,1,0.446
2021-02-26,CD,1,0.478
2021-03-31,CD,1,0.468
2021-04-30,CD,1,0.462
2021-05-31,CD,1,0.467
2021-06-30,CD,1,0.52
2021-07-30,CD,1,0.514
2021-08-31,CD,1,0.533
2021-09-30,CD,1,0.6
2021-10-29,CD,1,0.994
2021-11-30,CD,1,1.02
2021-12-31,CD,1,1.07
2022-01-31,CD,1,1.363
2022-02-28,CD,1,1.533
2022-03-31,CD,1,2.186
2022-04-29,CD,1,2.762
2022-05-31,CD,1,2.857
2022-06-30,CD,1,3.462
2022-07-29,CD,1,3.676
2022-08-31,CD,1,4.138
2022-09-30,CD,1,4.412
2022-10-31,CD,1,4.661
2022-11-30,CD,1,4.767
2022-12-30,CD,1,4.921
2010-01-29,DK,1,1.835
2010-02-26,DK,1,1.734
2010-03-31,DK,1,1.692
2010-04-30,DK,1,1.662
2010-05-31,DK,1,1.544
2010-06-30,DK,1,1.593
2010-07-30,DK,1,1.56
2010-08-31,DK,1,1.5055
2010-09-30,DK,1,1.6405
2010-10-29,DK,1,1.7135
2010-11-30,DK,1,1.683
2010-12-31,DK,1,1.643
2011-01-31,DK,1,1.759
2011-02-28,DK,1,1.715
2011-03-31,DK,1,2.071
2011-04-29,DK,1,2.037
2011-05-31,DK,1,1.978
2011-06-30,DK,1,2.0075
2011-07-29,DK,1,
2011-08-31,DK,1,1.592
2011-09-30,DK,1,1.46
2011-10-31,DK,1,1.4625
2011-11-30,DK,1,1.288
2011-12-30,DK,1,1.1301
2012-01-31,DK,1,1.1725
2012-02-29,DK,1,1.1625
2012-03-30,DK,1,1.166
2012-04-30,DK,1,1.094
2012-05-31,DK,1,0.883
2012-06-29,DK,1,0.7458
2012-07-31,DK,1,0.525
2012-08-31,DK,1,0.548
2012-09-28,DK,1,0.587
2012-10-31,DK,1,0.619
2012-11-30,DK,1,0.426
2012-12-31,DK,1,0.433
2013-01-31,DK,1,0.632
2013-02-28,DK,1,0.547
2013-03-29,DK,1,0.461
2013-04-30,DK,1,0.477
2013-05-31,DK,1,0.474
2013-06-28,DK,1,0.514
2013-07-31,DK,1,0.492
2013-08-30,DK,1,0.649
2013-09-30,DK,1,0.632
